driver_id,driver_name,average_missing_rate,average_order_amount,total_trips,driver_age,cluster
WDID09950,Matthew Dean,0.0,205.88285714285715,28,18,2
WDID09951,Stephanie Mills,0.0,233.03428571428572,63,18,1
WDID09952,Matthew Coleman,0.0,211.01,60,18,1
WDID09953,Jamie Torres,0.0,227.40714285714284,27,18,2
WDID09954,Zachary Thornton,0.0,240.79999999999998,48,18,1
WDID09955,Taylor Gray,0.0,201.3842857142857,63,18,1
WDID09956,Emily Strickland,0.0,186.86714285714285,70,18,1
WDID09957,Cindy West,0.0,217.1314285714286,54,18,1
WDID09958,Robert Sherman,0.0,233.60142857142858,48,18,1
WDID09959,Michelle Bowen,0.0,228.03,34,18,2
WDID09960,Christopher West,0.0,289.64428571428573,26,18,2
WDID09961,Victor Bennett,0.0,340.51571428571424,24,18,2
WDID09962,Frank Smith,0.0,238.4114285714286,70,18,1
WDID09963,Sherri Wright,0.0,266.79,52,18,1
WDID09964,Barry Hooper,0.0,205.0142857142857,68,18,1
WDID09965,Brandon Rivers,0.0,204.96857142857144,75,18,1
WDID09966,Amy Cardenas,0.0,186.87142857142857,66,18,1
WDID09967,Joshua Campbell,0.0,227.92857142857142,23,18,2
WDID09968,Antonio Washington,0.0,302.8885714285714,39,18,2
WDID09969,Andrew Mcfarland,0.0,275.04285714285714,76,18,1
WDID09970,Bryce Estrada,0.0,213.81857142857143,64,18,1
WDID09971,Christine Dennis,0.0,218.27142857142857,20,18,2
WDID09972,Anthony Dixon,0.0,188.85999999999999,13,18,2
WDID09973,Miguel Hicks,0.0,197.5142857142857,52,18,1
WDID09974,Jillian Morales,0.0,297.15000000000003,70,18,1
WDID09975,Corey Morales,0.0,250.94714285714284,12,18,2
WDID09976,Stephanie Camacho,0.0,358.5157142857143,20,18,2
WDID09977,Troy Garcia,0.0,270.96999999999997,27,18,2
WDID09978,George Harmon,0.0,362.4985714285714,19,18,2
WDID09979,Chad Mcguire,0.0,463.05428571428575,25,18,2
WDID09980,Erin Lawrence,0.0,319.4214285714285,28,18,2
WDID09981,Christopher Peters,0.0,284.4757142857143,42,18,2
WDID09982,Kimberly Cannon,0.0,296.65999999999997,37,18,2
WDID09983,Lisa Miller,0.0,389.55,44,18,2
WDID09984,Shawn Orr,0.0,262.84142857142854,76,18,1
WDID09985,Kathryn Tran,0.0,229.2,44,18,1
WDID09986,Monica Randall,0.0,247.24714285714285,19,18,2
WDID09987,Breanna Floyd,0.0,235.21285714285713,77,18,1
WDID09988,Denise Thompson,0.0,224.30285714285716,13,18,2
WDID09989,Cheryl Lee,0.0,293.6671428571429,72,18,1
WDID09990,Clayton Jones,0.0,178.47571428571428,65,18,1
WDID09991,Jessica Patterson,0.0,374.2514285714286,35,18,2
WDID09992,Joseph Turner,0.0,235.76714285714283,16,18,2
WDID09993,Todd Garcia,0.0,235.65,70,18,1
WDID09994,Michele Hawkins,0.0,181.81571428571428,24,18,2
WDID09995,John Cox,0.0,274.4957142857143,27,18,2
WDID09996,Megan Ward,0.0,242.98142857142858,78,18,1
WDID09997,Tracy Johnson,0.0,313.5342857142858,71,18,1
WDID09998,Alexandra Thompson,0.0,297.3085714285714,26,18,2
WDID09999,Richard Johnson,0.0,408.7057142857143,78,18,1
WDID10000,Mrs. Sarah Carpenter MD,0.0,369.7628571428572,46,18,2
WDID10001,Thomas Terry,0.0,308.84285714285716,15,18,2
WDID10002,Lindsey Gonzales,0.0,407.0357142857143,49,18,2
WDID10003,Crystal Williams,0.0,279.1228571428572,56,18,1
WDID10004,Katherine Estes,0.0,357.71571428571434,13,18,2
WDID10005,Jeremy Allen,0.0,333.2528571428571,31,18,2
WDID10006,Wanda Harmon,0.0,297.63714285714286,63,18,1
WDID10007,Andrew Robertson,0.0,247.99142857142857,54,18,1
WDID10008,Dennis Cox,0.0,246.17714285714285,37,18,2
WDID10009,Tiffany Hardy,0.0,255.19857142857146,58,18,1
WDID10010,Eric Mcdonald,0.0,284.49142857142857,37,18,2
WDID10011,Christopher Hughes,0.0,274.05571428571426,61,18,1
WDID10012,Stacy Compton,0.0,250.21428571428572,25,18,2
WDID10013,Gregory Moss,0.0,221.2642857142857,38,18,2
WDID10014,Veronica Johnson,0.0,195.87285714285716,71,18,1
WDID10015,Mercedes Quinn,0.0,219.64714285714285,11,18,2
WDID10016,Vanessa Park,0.0,179.43,46,18,1
WDID10017,Robert Reese,0.0,172.55285714285714,70,18,1
WDID10018,Jennifer Weaver,0.0,181.8342857142857,24,18,2
WDID10019,Lisa Swanson,0.0,184.30428571428573,64,18,1
WDID10020,Joel Hancock,0.0,237.57,56,18,1
WDID10021,Terry Stewart,0.0,216.27285714285713,13,18,2
WDID10022,Benjamin Gibson,0.0,251.90571428571428,75,18,1
WDID10023,Leslie Gibson,0.0,244.1185714285714,15,18,2
WDID10024,Nathan Sherman,0.0,246.47714285714287,77,18,1
WDID10025,Michael Jones,0.0,259.35857142857145,65,18,1
WDID10026,Jasmine Jacobs,0.0,299.36,58,18,1
WDID10027,Cheryl Benson,0.0,242.08428571428573,21,18,2
WDID10028,Nicole White,0.0,277.35714285714283,26,18,2
WDID10029,Denise Tran,0.0,241.1242857142857,64,18,1
WDID10030,Troy Cowan,0.0,213.24857142857144,63,18,1
WDID10031,Melinda King,0.0,201.5142857142857,13,18,2
WDID10032,Jennifer Johnson,0.0,242.82142857142858,31,18,2
WDID10033,Walter Miller,0.0,291.24142857142857,45,18,2
WDID10034,Robert Howard Jr.,0.0,282.6142857142857,24,18,2
WDID10035,Alexis Wilson,0.0,258.0857142857143,12,18,2
WDID10036,Jason Stevens,0.0,357.5257142857143,66,18,1
WDID10037,Amanda Ferguson,0.0,318.6914285714286,22,18,2
WDID10038,Jonathan Torres,0.0,350.89142857142855,23,18,2
WDID10039,Michelle Hunter,0.0,264.52714285714285,18,18,2
WDID10040,Roberta Nelson,0.0,192.9185714285714,22,18,2
WDID10041,Brenda Vargas,0.0,173.31,40,18,2
WDID10042,Kent Oneal,0.0,319.10571428571427,34,18,2
WDID10043,Rita Brown,0.0,289.48857142857145,69,18,1
WDID10044,Madison Norman,0.0,221.94571428571427,32,18,2
WDID10045,James York,0.0,270.75,54,18,1
WDID10046,Tanya Bowen,0.0,270.57142857142856,50,18,1
WDID10047,Donald Gonzalez,0.0,235.8857142857143,34,18,2
WDID10048,Janice Ramos,0.0,336.32142857142856,27,18,2
WDID10049,Paula Gray,0.0,365.6685714285714,78,18,1
WDID10050,Cassandra Hatfield,0.0,407.4242857142857,67,18,1
WDID10051,Timothy Bradley,0.0,372.90999999999997,57,18,1
WDID10052,Jeremiah Carroll,0.0,307.2542857142857,70,18,1
WDID10053,Mark Ortiz,0.0,291.40285714285716,67,18,1
WDID10054,Patrick Ellis,0.0,331.2842857142858,19,18,2
WDID10055,Christina Obrien,0.0,294.19,54,18,1
WDID10056,Heather Gibson,0.0,231.77857142857144,21,18,2
WDID10057,Jennifer Lam,0.0,265.6328571428571,53,18,1
WDID10058,Holly Grant,0.040248261839170935,308.8027272727273,29,18,3
WDID10059,Amber Porter,0.06508264462809918,309.90090909090907,46,18,3
WDID10060,Jody Patel,0.07077922077922078,363.36,41,18,3
WDID10061,Ashley Peterson,0.08281499202551833,266.5672727272727,42,18,3
WDID10062,Audrey Lopez,0.032828282828282825,380.5181818181818,28,18,3
WDID10063,John Martinez,0.030781499202551833,299.3690909090909,77,18,1
WDID10064,Charlotte Davila,0.07294666118195531,219.0590909090909,37,18,3
WDID10065,Nicole Martinez,0.03737373737373737,259.16636363636366,23,18,2
WDID10066,Ryan Gomez,0.05135281385281385,309.56636363636363,60,18,3
WDID10067,Bruce Lane,0.04368686868686869,317.3054545454545,29,18,3
WDID10068,Tyler Stewart,0.06818181818181818,267.7845454545455,24,19,3
WDID10069,Ms. Lindsay Carpenter,0.036093073593073594,268.73727272727274,77,19,1
WDID10070,Heather Torres,0.0856060606060606,278.6518181818182,51,19,3
WDID10071,Chad Medina,0.0384463833380242,248.53181818181818,20,19,2
WDID10072,Brian Crawford,0.07813852813852815,277.97090909090906,32,19,3
WDID10073,Elizabeth Robinson,0.075,316.38454545454545,35,19,3
WDID10074,Joseph Roberts,0.06385281385281384,280.2490909090909,65,19,3
WDID10075,Sandra Howard,0.0487012987012987,270.84181818181816,71,19,3
WDID10076,Michelle Kane,0.031818181818181815,202.54545454545453,30,19,2
WDID10077,Brent Werner,0.10303030303030303,226.2681818181818,15,19,3
WDID10078,Todd Morris,0.024806334016860332,269.9127272727273,69,19,1
WDID10079,Brittany Kelly,0.05952380952380953,260.6990909090909,70,19,3
WDID10080,Kimberly Russell,0.04392610313662945,297.19363636363636,52,19,3
WDID10081,Jonathan Gonzalez,0.07296650717703348,395.17,45,19,3
WDID10082,Brittany Morgan,0.04304407713498623,336.1072727272727,60,19,3
WDID10083,Andrea Choi,0.047294372294372285,365.25454545454545,28,19,3
WDID10084,Candace Taylor,0.06488569909622542,303.47999999999996,11,19,3
WDID10085,Charles Barrett,0.06859587780640412,336.72818181818184,57,19,3
WDID10086,Matthew Brooks,0.03348612172141584,268.9236363636364,20,19,2
WDID10087,Jessica Johnson,0.0532695374800638,255.32818181818183,74,19,3
WDID10088,Anne Mckee,0.07842157842157842,255.68363636363637,13,19,3
WDID10089,Andrew Smith,0.04393939393939394,246.64818181818183,41,19,3
WDID10090,Jennifer Harris,0.06959268801374065,229.49363636363634,65,19,3
WDID10091,Paul Boyd,0.0825068870523416,313.78636363636366,68,19,3
WDID10092,Savannah Berg,0.040945165945165944,353.17,25,19,3
WDID10093,Justin Gregory,0.045165945165945166,236.77636363636364,56,19,3
WDID10094,Eric Bennett,0.05087235996326906,252.2118181818182,18,19,2
WDID10095,Billy Daniels,0.05042735042735043,333.7809090909091,71,19,3
WDID10096,Kelly Lopez,0.07062490938089024,237.5890909090909,14,19,3
WDID10097,Melissa Little,0.10151515151515152,256.45272727272726,59,19,3
WDID10098,Alice Giles,0.0825068870523416,233.60454545454547,71,19,3
WDID10099,Julie Nichols,0.09166666666666666,273.4318181818182,27,19,3
WDID10100,Nicholas Drake,0.057590804917008125,290.9563636363636,44,19,3
WDID10101,Anita Harris,0.07762237762237763,403.01727272727277,47,19,3
WDID10102,Brian Kelley,0.0,413.71,37,19,2
WDID10103,Melissa Harmon,0.0,423.2042857142857,65,19,1
WDID10104,David Nguyen,0.0,366.87857142857143,52,18,1
WDID10105,Laura Bradley,0.0,292.3671428571428,51,19,1
WDID10106,Justin Young,0.0,321.2657142857143,25,19,2
WDID10107,Julia Anderson,0.0,371.0214285714286,68,19,1
WDID10108,Nicole Allen,0.0,328.57000000000005,68,19,1
WDID10109,Melissa Davidson,0.0,327.88,77,19,1
WDID10110,Michael Poole,0.0,257.4157142857143,11,19,2
WDID10111,Jonathan Hansen,0.0,281.65714285714284,38,19,2
WDID10112,Alec Nichols,0.0,249.54,26,19,2
WDID10113,Calvin Osborne,0.0,258.1557142857143,48,19,1
WDID10114,Amy Neal,0.0,271.0957142857143,77,19,1
WDID10115,Shawn Boone,0.0,310.96714285714285,41,19,2
WDID10116,Brandy Bennett,0.0,289.35857142857145,68,19,1
WDID10117,Brian Bennett,0.0,308.6042857142857,15,19,2
WDID10118,Donna Kelly,0.0,240.38428571428568,34,19,2
WDID10119,Mary Wood,0.0,271.65,43,19,2
WDID10120,Jack Pratt,0.0,264.34857142857146,22,19,2
WDID10121,Andrew Gibson,0.0,308.68857142857144,20,19,2
WDID10122,Derrick Russell,0.0,290.48857142857145,45,19,2
WDID10123,Julie Snyder,0.0,286.0242857142857,32,19,2
WDID10124,Timothy Hernandez II,0.0,211.6857142857143,29,19,2
WDID10125,Geoffrey Heath,0.0,192.1314285714286,54,19,1
WDID10126,Cindy Rivera,0.0,237.11285714285714,70,19,1
WDID10127,Alan Hess,0.0,227.41857142857143,51,19,1
WDID10128,Lindsay Smith,0.0,212.37285714285716,21,19,2
WDID10129,Andrea Miller,0.0,261.0828571428571,50,19,1
WDID10130,Katie Frey,0.0,293.41857142857145,39,19,2
WDID10131,Erica Jackson,0.0,243.56285714285715,42,19,2
WDID10132,Isaac Lewis,0.0,235.03571428571428,32,19,2
WDID10133,Carl Mcguire,0.0,252.17714285714285,14,19,2
WDID10134,Jake Patterson,0.0,213.37000000000003,73,19,1
WDID10135,Ruth Mooney,0.0,209.4057142857143,70,19,1
WDID10136,Jody Sanchez,0.0,291.57714285714286,15,19,2
WDID10137,Martha Anderson,0.0,390.8085714285714,29,19,2
WDID10138,Rhonda Keller,0.0,363.0571428571429,43,19,2
WDID10139,Kelly Hughes DDS,0.0,350.2057142857143,66,19,1
WDID10140,Donald Stuart,0.0,294.59142857142854,71,19,1
WDID10141,Christine Bauer,0.0,306.2628571428572,48,19,1
WDID10142,Shawn Young,0.0,303.0257142857143,74,19,1
WDID10143,Deanna Golden,0.0,292.7885714285714,77,19,1
WDID10144,Laura Smith,0.0,252.77714285714288,11,19,2
WDID10145,James Green,0.0,212.03428571428572,27,19,2
WDID10146,Melanie Henderson,0.0,224.91,22,19,2
WDID10147,Matthew Brown,0.0,182.50714285714284,39,19,2
WDID10148,Claudia King,0.0,204.46857142857144,44,19,1
WDID10149,Betty Smith,0.0,192.91428571428574,49,19,1
WDID10150,Heidi Meyer,0.0,171.51,49,19,1
WDID10151,Adam Brown,0.0,286.1171428571428,70,19,1
WDID10152,Samantha Carey,0.0,215.93,51,19,1
WDID10153,Samuel Glover,0.0,199.08571428571426,71,19,1
WDID10154,Gerald Pollard,0.0,221.1442857142857,38,19,2
WDID10155,Mr. Thomas Anderson,0.0,147.07285714285715,54,19,1
WDID10156,David Hernandez,0.0,201.71857142857144,31,19,2
WDID10157,Leonard Nelson,0.0,323.1771428571428,35,19,2
WDID10158,James Rivera,0.0,293.1985714285714,26,19,2
WDID10159,Monique Jackson,0.0,247.43857142857146,76,19,1
WDID10160,John Morris,0.0,401.06857142857143,70,19,1
WDID10161,Rebecca Harmon,0.0,358.26714285714286,23,19,2
WDID10162,Rebecca Myers,0.0,349.7642857142857,66,19,1
WDID10163,George Padilla,0.0,318.6014285714286,26,19,2
WDID10164,Cynthia Park,0.0,343.5671428571428,49,19,1
WDID10165,Tyler Mason,0.0,328.4385714285714,42,19,2
WDID10166,Paul Diaz,0.0,255.12142857142857,40,19,2
WDID10167,Patricia Villarreal,0.0,301.59857142857146,49,19,1
WDID10168,Hector Collins,0.0,273.29714285714283,50,19,1
WDID10169,David Durham,0.0,195.30714285714288,72,19,1
WDID10170,Lisa Frank,0.0,234.94428571428574,33,19,2
WDID10171,Derek Colon,0.0,210.1,33,19,2
WDID10172,Jennifer Diaz,0.0,272.0228571428571,28,19,2
WDID10173,Keith Perez,0.0,310.94428571428574,39,19,2
WDID10174,Kelly Bray,0.0,237.53714285714287,11,19,2
WDID10175,Rebecca Newton,0.0,288.72285714285715,15,19,2
WDID10176,Jordan Guerrero,0.0,264.9042857142857,39,19,2
WDID10177,Samantha Francis,0.0,266.9271428571429,62,20,1
WDID10178,Misty Castro,0.0,213.48714285714286,17,20,2
WDID10179,Jessica Beck,0.0,211.25285714285715,63,20,1
WDID10180,Debbie Gross,0.0,203.93428571428572,60,20,1
WDID10181,Michael Riley,0.0,213.51,71,20,1
WDID10182,Jeremy Owens,0.0,192.97857142857143,74,20,1
WDID10183,Dawn Smith,0.0,213.41285714285712,12,20,2
WDID10184,Kelly Saunders,0.0,299.97285714285715,67,20,1
WDID10185,Lisa Camacho,0.0,325.1557142857143,20,20,2
WDID10186,Latoya Austin,0.0,284.8514285714286,47,20,1
WDID10187,Lauren Stevens,0.0,287.34000000000003,29,20,2
WDID10188,Leslie White,0.0,267.0357142857143,19,20,2
WDID10189,Brenda Cooper,0.0,352.26142857142855,23,20,2
WDID10190,Kara Hall,0.0,374.50714285714287,41,20,2
WDID10191,Heather Robinson,0.0,307.35857142857145,20,20,2
WDID10192,Michelle Griffin,0.0,272.2842857142857,23,20,2
WDID10193,Shawn Riley,0.0,370.8757142857143,32,20,2
WDID10194,Emily Gonzales,0.0,341.0957142857143,51,20,1
WDID10195,Jimmy Baldwin,0.0,306.6985714285714,38,20,2
WDID10196,Brian Anderson,0.0,431.09857142857146,39,20,2
WDID10197,Jacob Soto,0.0,288.89142857142855,56,20,1
WDID10198,Samuel Walton,0.0,283.9842857142857,58,20,1
WDID10199,Sophia Wilson,0.0,236.00285714285715,78,20,1
WDID10200,Michelle Johnson,0.0,297.88571428571424,46,20,2
WDID10201,Frank Ruiz,0.0,263.9142857142857,11,20,2
WDID10202,Rebecca Peterson,0.0,425.55,29,20,2
WDID10203,Kyle Peterson,0.0,374.74571428571426,34,20,2
WDID10204,Katie Shields,0.0,265.52714285714285,36,20,2
WDID10205,Jeffrey Tyler,0.0,265.9614285714286,57,20,1
WDID10206,Maria Gamble,0.0,261.7714285714286,76,20,1
WDID10207,Matthew Thompson,0.0,212.2942857142857,59,20,1
WDID10208,Evelyn Martinez,0.0,225.78714285714287,23,20,2
WDID10209,Vicki Whitaker,0.0,189.99285714285716,53,20,1
WDID10210,Yesenia Howard MD,0.0,236.6757142857143,69,20,1
WDID10211,Katelyn Walker,0.0,220.69428571428574,69,20,1
WDID10212,Todd Livingston,0.0,265.4157142857143,13,20,2
WDID10213,Marcus Rodriguez,0.0,301.81,77,20,1
WDID10214,Kelly Benjamin,0.0,293.13,34,20,2
WDID10215,Michael Ford,0.0,340.61428571428576,17,20,2
WDID10216,Nicole Freeman,0.03773448773448773,363.71090909090907,45,20,3
WDID10217,Christopher Cooper,0.04749172396231219,296.6054545454545,69,20,3
WDID10218,Shelly Sweeney,0.09848484848484848,369.13909090909095,42,20,3
WDID10219,Justin Robinson,0.03552061973114604,263.39,54,20,1
WDID10220,Crystal Harris,0.05808080808080807,356.4763636363636,55,20,3
WDID10221,Michael Baxter,0.04448900772430184,265.6445454545455,42,20,3
WDID10222,Daniel Hall,0.10606060606060605,261.77000000000004,40,20,3
WDID10223,Scott Bell,0.05059998481051112,268.9827272727273,24,20,3
WDID10224,Anthony Mitchell,0.07897153351698806,393.53909090909093,25,20,3
WDID10225,Mary Miller,0.08153907496012759,291.74545454545455,49,20,3
WDID10226,Sherri Allen,0.05184351252462707,271.48454545454547,43,20,3
WDID10227,David Williams,0.03559130263675718,297.2590909090909,47,20,3
WDID10228,Lindsey Nash,0.08283677107206519,330.42727272727274,63,20,3
WDID10229,Jason Hoover,0.0,214.81857142857143,78,20,1
WDID10230,Nicole Grimes,0.0,238.59714285714287,68,20,1
WDID10231,Emily Tyler,0.0,268.55428571428575,53,20,1
WDID10232,Sarah Mccormick,0.0,180.74285714285716,16,20,2
WDID10233,Kathy Pope,0.0,255.58714285714285,36,20,2
WDID10234,Melinda Parker,0.0,236.74142857142857,52,20,1
WDID10235,Michelle Rojas,0.0,219.71428571428572,42,20,2
WDID10236,Katherine Howard,0.0,293.7485714285714,13,20,2
WDID10237,Alicia Day,0.0,291.59714285714284,73,20,1
WDID10238,Beverly Bennett,0.0,327.35857142857145,15,20,2
WDID10239,Rachel Miller,0.0,275.3442857142857,70,21,1
WDID10240,Debra Tyler,0.0,262.13,71,21,1
WDID10241,Mathew Ward,0.0,207.04999999999998,21,21,2
WDID10242,Rebekah Campbell,0.0,191.12714285714287,78,21,1
WDID10243,Sandra Shannon,0.0,219.48857142857145,38,21,2
WDID10244,David Cisneros,0.0,354.2914285714286,70,21,1
WDID10245,William Ballard,0.09015151515151515,310.6963636363636,46,21,3
WDID10246,Samantha Burns,0.024481658692185007,369.5418181818182,63,21,1
WDID10247,Sandra Ochoa,0.0532695374800638,324.1818181818182,76,21,3
WDID10248,Victoria Adams,0.0659536541889483,342.1990909090909,61,21,3
WDID10249,Michael Martin,0.05454545454545454,322.44,78,21,3
WDID10250,Jared Campos,0.033033633033633034,255.95636363636365,24,21,2
WDID10251,Jennifer Solis,0.07321428571428572,215.02727272727273,63,21,3
WDID10252,Timothy Humphrey,0.03526334776334776,203.97727272727272,39,21,2
WDID10253,Kenneth Hess,0.07467532467532467,254.43545454545455,53,21,3
WDID10254,Sylvia Reed,0.03437168891714346,315.0790909090909,33,21,2
WDID10255,Matthew Miller,0.058874458874458864,281.91,20,21,3
WDID10256,Jennifer Brown,0.04025974025974026,294.01545454545453,61,21,3
WDID10257,Paul Lyons,0.057178932178932176,375.13000000000005,29,21,3
WDID10258,Christopher Williams,0.05545682387787651,279.15818181818184,33,21,3
WDID10259,James Jones,0.0,245.28,26,21,2
WDID10260,Eric Morse,0.0,209.21857142857144,20,21,2
WDID10261,Shannon Juarez,0.0,272.78000000000003,50,21,1
WDID10262,Alyssa Higgins,0.0,261.56142857142856,14,21,2
WDID10263,Dr. Matthew Hines,0.0,338.0971428571429,31,21,2
WDID10264,Brian Adams,0.0,268.19714285714286,47,21,1
WDID10265,Robert Nixon,0.0,283.1114285714286,23,21,2
WDID10266,Laurie Cameron,0.0,219.74714285714285,36,21,2
WDID10267,Miss Christina Friedman,0.0,268.31857142857143,53,21,1
WDID10268,Samuel Baker,0.0,288.07428571428574,20,21,2
WDID10269,Leslie Leonard,0.0,230.51142857142855,13,21,2
WDID10270,Katherine Lowe,0.0,202.10714285714286,35,21,2
WDID10271,Christopher Valentine,0.0,292.87,21,21,2
WDID10272,Jerry Norris,0.0,278.3514285714286,70,21,1
WDID10273,Robert Johnson,0.0,265.59714285714284,23,21,2
WDID10274,Ryan Hill,0.0,224.72714285714284,35,21,2
WDID10275,Eric Koch,0.0,199.1942857142857,70,21,1
WDID10276,Perry Silva,0.0,291.00714285714287,34,21,2
WDID10277,Sarah Ferguson,0.0,247.22,21,21,2
WDID10278,Veronica Conley,0.0,280.45142857142855,51,21,1
WDID10279,Caitlin Smith,0.0,207.20428571428573,46,21,1
WDID10280,Jaclyn Martin,0.0,191.08571428571426,67,21,1
WDID10281,Seth Martinez,0.0,202.54571428571427,51,21,1
WDID10282,Brittany Morgan,0.0,310.49857142857144,76,19,1
WDID10283,Mark Mason,0.0,359.6928571428571,11,21,2
WDID10284,Kyle Davis,0.0,206.34,54,21,1
WDID10285,Jason Lee,0.0,205.79285714285714,40,21,2
WDID10286,Jasmine Smith,0.0,286.69571428571425,74,21,1
WDID10287,Amber Murray,0.0,248.1442857142857,39,21,2
WDID10288,James Moran,0.0,332.13000000000005,50,21,1
WDID10289,Darrell Mcmillan,0.0,351.0857142857143,63,21,1
WDID10290,Sandra Lane,0.0,322.8771428571428,45,21,2
WDID10291,Rachel Bautista,0.0,329.58714285714285,74,21,1
